area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,Ready To Move,3 BHK,,2700,3,,324,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,,1455,2,,69,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,,1027,2,2,44,Muduchintalpalli
Built-up  Area,Ready To Move,4 Bedroom,Goodsrb,3532,3,3,170,Muduchintalpalli
Built-up  Area,Ready To Move,3 BHK,,1430,3,1,78.65,Muduchintalpalli
Built-up  Area,18-Feb,5 BHK,,2400,5,2,93,Muduchintalpalli
Built-up  Area,Ready To Move,3 BHK,Giersin,1783,3,2,125,Muduchintalpalli
Built-up  Area,Ready To Move,2 BHK,,700,2,1,33,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,Saitya ,1826,3,2,130,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,Ozensve,1255,2,1,90,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,SNity S,1450,2,2,87,Muduchintalpalli
Super built-up  Area,Ready To Move,1 RK,,360,1,0,16.9,Muduchintalpalli
Super built-up  Area,18-May,1 BHK,Sabixtt,655 - 742,1,0,28.57,Muduchintalpalli
Super built-up  Area,Ready To Move,4 BHK,Saciatt,4050 - 4075,,,341,Muduchintalpalli
Super built-up  Area,Ready To Move,4 BHK,NCs 2rj,2600,4,3,175,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,,1027,2,2,43,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,SLnssPr,1330,2,2,39.9,Muduchintalpalli
Plot  Area,Ready To Move,2 Bedroom,,1225,2,0,65,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,Saisena,1200,2,2,51,Muduchintalpalli
Super built-up  Area,Ready To Move,4 BHK,,2000,4,1,135,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,,1223,2,2,42.81,Muduchintalpalli
Super built-up  Area,18-Dec,4 BHK,Jaades ,2690,4,3,201,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,Sonviik,1186,2,3,55,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,,958,2,1,34.49,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,Veales ,1295,2,3,78.5,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,Prillot,1804,3,2,175,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,Prityel,1200,2,1,41,Muduchintalpalli
Super built-up  Area,Ready To Move,1 BHK,DSvar S,782,1,0,19.55,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,,1320,2,2,55,Muduchintalpalli
Plot  Area,Ready To Move,5 Bedroom,,900,6,1,95,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,JClyner,1460,2,,80,Muduchintalpalli
Super built-up  Area,18-Jun,3 BHK,PualeSk,1700,3,1,194,Muduchintalpalli
Super built-up  Area,18-Dec,2 BHK,,850,2,1,25.4,Muduchintalpalli
Built-up  Area,Ready To Move,4 BHK,,2502,4,2,170,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,Jaitira,1707,3,2,171,Muduchintalpalli
Carpet  Area,20-Dec,1 BHK,Roiti A,381,1,1,28,Muduchintalpalli
Plot  Area,Ready To Move,8 Bedroom,,1244,6,2,130,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,Unris E,1100,2,2,72,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,,1355,2,3,58.25,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,Suncy R,1900,3,3,150,Muduchintalpalli
Built-up  Area,Ready To Move,3 BHK,Karchru,1504,3,2,67,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,Nadhian,1165,2,1,40,Muduchintalpalli
Plot  Area,Ready To Move,4 Bedroom,,1200,3,1,160,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1530,3,2,64,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,Doissa ,1575,2,3,85,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,Ceiti I,1862,4,1,110,Muduchintalpalli
Built-up  Area,Ready To Move,4 BHK,Prowshi,4041,4,2,345,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,,1250,2,1,55.55,Muduchintalpalli
Super built-up  Area,19-Dec,2 BHK,Oreldhi,1180,2,1,77,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,52.5,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,Wiowsri,1430 - 1630,,,70.99,Muduchintalpalli
Super built-up  Area,20-Dec,3 BHK,Brens7 ,1423,2,1,71.73,Muduchintalpalli
Super built-up  Area,18-Apr,4 BHK,Prionad,2524,5,2,180,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,,1150,2,1,46,Muduchintalpalli
Super built-up  Area,18-Apr,3 BHK,Bregae ,1770,3,3,108,Muduchintalpalli
Plot  Area,Ready To Move,5 Bedroom,,1200,5,2,138,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,Sapazta,1798,3,3,73,Muduchintalpalli
Plot  Area,Ready To Move,4 Bedroom,,1200,6,3,60,Muduchintalpalli
Built-up  Area,Ready To Move,3 BHK,Laiteya,1340,2,3,42,Muduchintalpalli
Built-up  Area,Ready To Move,4 Bedroom,,3850,6,0,205,Muduchintalpalli
Plot  Area,Ready To Move,4 Bedroom,,3600,4,2,300,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,,1350,2,2,89.5,Muduchintalpalli
Plot  Area,Ready To Move,4 Bedroom,,1018,4,1,150,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,SNity S,1450,2,2,78,Muduchintalpalli
Plot  Area,Ready To Move,5 Bedroom,,2400,4,1,325,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,SrEndPo,2137,3,2,110,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,,990,2,2,50,Muduchintalpalli
Built-up  Area,Ready To Move,3 BHK,,1021,3,2,59,Muduchintalpalli
Plot  Area,Ready To Move,5 Bedroom,,3250,5,2,395,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,Soresea,1205,2,1,79,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,Soncy R,1735,3,3,78,Muduchintalpalli
Super built-up  Area,21-Jul,3 BHK,GoAirej,1837,3,1,110,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,AHodsWo,1015,2,3,56,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,Brnia G,1430,2,1,102,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,Daxir E,980,2,3,35,Muduchintalpalli
Super built-up  Area,18-Jun,2 BHK,Maian M,1046,2,1,48,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,,1400,2,2,68,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,SLtias ,995,2,1,40.8,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,Shateor,1255,2,2,56.5,Muduchintalpalli
Super built-up  Area,Ready To Move,2 BHK,,1125,2,2,46,Muduchintalpalli
Super built-up  Area,Ready To Move,3 BHK,Asncywo,1850,3,2,89,Muduchintalpalli
Plot  Area,Ready To Move,4 Bedroom,,1200,5,,325,Muduchintalpalli
Plot  Area,Ready To Move,6 Bedroom,,1407,4,1,150,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Prcan P,1125,2,2,50,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,KHityry,800,1,1,20,Shamirpet
Plot  Area,Ready To Move,3 Bedroom,,1350,2,0,140,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,Brnia G,1400,2,1,95,Shamirpet
Super built-up  Area,Ready To Move,9 BHK,Amsomun,5000,9,3,210,Shamirpet
Super built-up  Area,Ready To Move,4 BHK,PueraRi,3800,4,3,250,Shamirpet
Built-up  Area,Ready To Move,2 BHK,,1202,2,1,53,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,,1695,3,1,90,Shamirpet
Super built-up  Area,18-Mar,2 BHK,,1001,2,2,33.03,Shamirpet
Super built-up  Area,Ready To Move,7 BHK,,4100,7,,140,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,Aiitya ,1575,3,,78,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,AbnceEs,1133,2,2,55,Shamirpet
Super built-up  Area,18-Feb,2 BHK,Brersge,1121,2,2,78,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,GoandAc,1850,3,3,100,Shamirpet
Built-up  Area,18-May,4 Bedroom,,1200,4,2,105,Shamirpet
Plot  Area,Ready To Move,4 Bedroom,,1200,5,2,110,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,Brtiael,1645,3,2,100,Shamirpet
Built-up  Area,18-Aug,3 BHK,Sryalan,1220,3,1,35.23,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,NCdgerj,1450,2,2,135,Shamirpet
Plot  Area,Ready To Move,8 Bedroom,,990,12,0,120,Shamirpet
Built-up  Area,Ready To Move,2 BHK,SJodsed,1150,2,2,80,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Prcesvy,1195,2,1,84,Shamirpet
Super built-up  Area,Ready To Move,4 BHK,,1200,4,3,169,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,Aklia R,1345,2,1,57,Shamirpet
Plot  Area,Ready To Move,7 Bedroom,,700,6,,85,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,,1418,2,2,103,Shamirpet
Super built-up  Area,21-Jan,2 BHK,Sapus S,1246,2,1,82,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Bhmesy ,1098,2,1,68,Shamirpet
Plot  Area,Ready To Move,3 Bedroom,,680,4,1,68,Shamirpet
Super built-up  Area,18-Aug,2 BHK,SNnia E,1225,2,1,67.38,Shamirpet
Super built-up  Area,19-Dec,3 BHK,Ceezey ,1798,3,1,120,Shamirpet
Super built-up  Area,21-Dec,3 BHK,KonteiT,1563,3,2,91.84,Shamirpet
Built-up  Area,Ready To Move,2 BHK,Proodt ,1900,2,1,200,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Pu270a ,1392,2,1,98,Shamirpet
Plot  Area,Ready To Move,2 Bedroom,,1380,2,0,225,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,,1185,2,2,60,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,RMcesa ,1910,3,1,190,Shamirpet
Super built-up  Area,18-May,3 BHK,,2170,3,2,151,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,Sodgere,2106,3,2,126,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Flretes,1200,2,2,60,Shamirpet
Plot  Area,Ready To Move,4 Bedroom,,3884,4,3,240,Shamirpet
Carpet  Area,Ready To Move,2 BHK,,975,2,2,50,Shamirpet
Plot  Area,Ready To Move,4 Bedroom,,2400,4,0,550,Shamirpet
Built-up  Area,Ready To Move,3 Bedroom,,3300,4,3,160,Shamirpet
Plot  Area,Ready To Move,8 Bedroom,,1200,7,3,130,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Ozensve,1000,2,1,78,Shamirpet
Plot  Area,Ready To Move,3 Bedroom,,1800,2,0,72,Shamirpet
Super built-up  Area,18-Dec,2 BHK,Suhamra,1215,2,1,62,Shamirpet
Super built-up  Area,21-Feb,3 BHK,PrarePa,1100,3,1,52.97,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Eltert ,1480,2,2,65,Shamirpet
Super built-up  Area,19-Dec,2 BHK,SheldGr,935,2,1,45,Shamirpet
Super built-up  Area,21-Dec,2 BHK,Bhe 2ko,1437,2,1,71.13,Shamirpet
Plot  Area,Ready To Move,4 Bedroom,,1200,2,1,130,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,,946,2,2,58,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,DSise S,1930,2,2,57.9,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,DSOakil,1030,1,2,25.75,Shamirpet
Built-up  Area,18-Mar,2 BHK,,1150,2,2,69,Shamirpet
Super built-up  Area,18-Jan,2 BHK,Prersis,1138,2,1,110,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,GMown E,1025,2,1,49,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,PuandHi,1665,3,2,86.91,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,Thowsil,1130,2,2,58,Shamirpet
Built-up  Area,21-Dec,1 BHK,Bhe 2ko,693,1,1,34.3,Shamirpet
Super built-up  Area,18-Mar,3 BHK,SNnia E,1520,2,2,90,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,Eladero,1675,2,2,135,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,,1035,2,1,39.33,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,,1220,2,3,88,Shamirpet
Built-up  Area,Ready To Move,3 BHK,Bhncy V,1600,2,2,75,Shamirpet
Super built-up  Area,Ready To Move,1 BHK,RatatHa,840 - 1010,1,0,40.7,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,ArierPr,1250,2,2,90,Shamirpet
Super built-up  Area,18-Jul,2 BHK,,1175,2,2,79,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,LVniaar,1140,2,1,43.32,Shamirpet
Super built-up  Area,18-Dec,3 BHK,BSlasin,1390 - 1600,,,61.28,Shamirpet
Super built-up  Area,20-Nov,3 BHK,,1700,3,2,111,Shamirpet
Built-up  Area,Ready To Move,1 BHK,,650,1,0,16,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,,1380,2,2,55,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,Leora D,2750,3,,260,Shamirpet
Super built-up  Area,18-Jun,3 BHK,MCnexva,1430,2,1,61,Shamirpet
Super built-up  Area,Ready To Move,1 BHK,Saiewas,780,1,1,70,Shamirpet
Plot  Area,Ready To Move,8 Bedroom,,1500,7,2,382,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,SrireSo,1150,2,2,55,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,DSndsod,1320,2,1,100,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Keers S,1257,2,1,68.5,Shamirpet
Super built-up  Area,Ready To Move,1 BHK,,800,1,2,32,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,MauilTr,1435,2,2,80,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,Brway G,1800,3,2,240,Shamirpet
Built-up  Area,Ready To Move,6 Bedroom,,1850,3,0,175,Shamirpet
Plot  Area,Ready To Move,4 Bedroom,Dhistee,1200,4,3,140,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,,1760,3,,115,Shamirpet
Built-up  Area,18-Jul,2 BHK,Sryalan,1025,2,1,26.65,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Maletr ,1394,2,3,52,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Bregae ,1310,2,2,80.43,Shamirpet
Built-up  Area,18-Feb,9 BHK,,4600,9,2,200,Shamirpet
Plot  Area,Ready To Move,4 Bedroom,,750,4,2,120,Shamirpet
Built-up  Area,Ready To Move,3 BHK,,1800,3,2,110,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,Maity W,1445,2,2,86.69,Shamirpet
Plot  Area,Ready To Move,6 Bedroom,,1000,6,3,150,Shamirpet
Super built-up  Area,18-May,1 BHK,Soresea,645,1,1,39,Shamirpet
Super built-up  Area,19-Jul,2 BHK,Soazak ,1328,2,2,107,Shamirpet
Super built-up  Area,20-Jan,3 BHK,Aduil T,1823,3,2,103,Shamirpet
Built-up  Area,Ready To Move,4 BHK,Pride S,2439,5,2,170,Shamirpet
Super built-up  Area,18-Dec,2 BHK,SJerse ,1360,2,1,77.61,Shamirpet
Plot  Area,Ready To Move,4 Bedroom,Adeatlm,4000,5,1,578,Shamirpet
Super built-up  Area,Ready To Move,1 BHK,,770,1,2,43.82,Shamirpet
Plot  Area,Ready To Move,1 Bedroom,,400,2,1,50,Shamirpet
Built-up  Area,18-Aug,2 BHK,Sryalan,1160,2,1,33.51,Shamirpet
Built-up  Area,Ready To Move,2 BHK,,1000,2,0,50,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,MJlese ,1170,2,1,45.51,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Jaisemi,1106,2,3,40,Shamirpet
Super built-up  Area,21-Dec,3 BHK,PrarePa,1300,3,2,69,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,,1020,2,1,80,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,Prigh L,2100,3,3,125,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,,1285,2,1,60,Shamirpet
Carpet  Area,Ready To Move,2 BHK,Jahidva,866.28,2,0,36.38,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,SrncyRe,1485,2,2,70,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,SSaveik,1100,2,2,38.5,Shamirpet
Built-up  Area,Ready To Move,2 BHK,,1125,2,1,46,Shamirpet
Super built-up  Area,18-May,2 BHK,Sahtsva,1027,2,1,67,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Prrtht ,883,2,1,45,Shamirpet
Built-up  Area,Ready To Move,5 Bedroom,,3520,6,1,460,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,,1525,3,3,65,Shamirpet
Plot  Area,18-May,4 Bedroom,,1200,4,2,125,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Koagati,973,2,1,50.74,Shamirpet
Plot  Area,Ready To Move,3 Bedroom,,1200,2,0,66,Shamirpet
Super built-up  Area,17-Dec,2 BHK,,1158,2,1,55,Shamirpet
Plot  Area,Ready To Move,4 Bedroom,Thessrm,3500,4,2,550,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,,1270,2,2,95.25,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2,1,33,Shamirpet
Plot  Area,Ready To Move,4 Bedroom,,3750,4,,190,Shamirpet
Plot  Area,Ready To Move,4 Bedroom,,4350,8,,2600,Shamirpet
Super built-up  Area,18-Dec,4 BHK,Emsisy ,4100,4,3,660,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Vaine S,1140,2,1,40,Shamirpet
Super built-up  Area,Ready To Move,3 BHK,Ayaya A,1290,2,3,56.12,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,,1115,2,2,44.6,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,,1120,2,2,53,Shamirpet
Plot  Area,Ready To Move,5 Bedroom,,2040,4,1,500,Shamirpet
Super built-up  Area,18-Apr,1 BHK,Prony S,610,1,1,18.5,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,Prntsax,745,2,1,36,Shamirpet
Built-up  Area,Ready To Move,3 BHK,,1805,3,3,134,Shamirpet
Super built-up  Area,Ready To Move,2 BHK,,840,2,2,45,Uppal
Super built-up  Area,18-Jul,2 BHK,Sryalan,1020,2,1,30.6,Uppal
Built-up  Area,Ready To Move,2 BHK,,1060,2,2,55,Uppal
Super built-up  Area,18-Jun,3 BHK,SSestth,1260,3,1,49.36,Uppal
Super built-up  Area,Ready To Move,3 BHK,,1670,2,3,57,Uppal
Built-up  Area,Ready To Move,5 Bedroom,,3000,3,1,528,Uppal
Super built-up  Area,Ready To Move,2 BHK,Prrtht ,883,2,1,29,Uppal
Super built-up  Area,Ready To Move,2 BHK,Srisei ,1200,2,3,62.5,Uppal
Super built-up  Area,Ready To Move,3 BHK,Shana S,1705,3,2,95,Uppal
Built-up  Area,Ready To Move,4 Bedroom,,1500,4,,180,Uppal
Plot  Area,18-Mar,1 Bedroom,,5.31Acres,1,0,110,Uppal
Super built-up  Area,Ready To Move,2 BHK,,1027,2,2,44,Uppal
Plot  Area,Ready To Move,5 Bedroom,,1560,5,1,145,Uppal
Super built-up  Area,Ready To Move,3 BHK,,1082,2,1,45,Uppal
Super built-up  Area,20-Dec,3 BHK,PrarePa,1300,3,1,64,Uppal
Carpet  Area,18-Dec,2 BHK,Rosha I,804.1,2,1,69.09,Uppal
Built-up  Area,Ready To Move,4 BHK,AWharde,3198,4,3,200,Uppal
Super built-up  Area,Ready To Move,3 BHK,AkletBa,1760,3,3,176,Uppal
Built-up  Area,Ready To Move,3 BHK,GMown E,1360,2,1,75,Uppal
Super built-up  Area,Ready To Move,2 BHK,Hiate F,1200,2,2,75,Uppal
Plot  Area,Ready To Move,3 Bedroom,,800,2,1,80,Uppal
Super built-up  Area,Ready To Move,3 BHK,MenueNo,1430,2,2,56,Uppal
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,49.5,Uppal
Super built-up  Area,Ready To Move,2 BHK,,1256,2,1,60,Uppal
Super built-up  Area,Ready To Move,2 BHK,Krtiqa ,1100,2,1,60,Uppal
Super built-up  Area,Ready To Move,2 BHK,,1220,2,2,59.5,Uppal
Super built-up  Area,Ready To Move,3 BHK,,1650,3,1,165,Uppal
Built-up  Area,Ready To Move,2 BHK,Coa It ,1215,2,0,40,Uppal
Super built-up  Area,Ready To Move,2 BHK,,1130,2,1,45.2,Uppal
Plot  Area,Ready To Move,1 Bedroom,,1260,1,0,41,Uppal
Built-up  Area,Ready To Move,1 BHK,,890,1,1,75,Uppal
Super built-up  Area,Ready To Move,3 BHK,Veisear,1675,3,3,75,Uppal
Super built-up  Area,18-Nov,2 BHK,,1326,2,1,62.17,Uppal
Built-up  Area,Ready To Move,5 Bedroom,,3040Sq. Meter,5,1,140,Uppal
Super built-up  Area,18-Apr,2 BHK,,1086,2,1,33.66,Uppal
Super built-up  Area,Ready To Move,2 BHK,PuandHi,1339,2,2,62,Uppal
Plot  Area,Ready To Move,2 Bedroom,,1200,2,1,216,Uppal
Super built-up  Area,Ready To Move,2 BHK,CidgeKn,1139,2,2,80,Uppal
Built-up  Area,Ready To Move,2 BHK,,1080,2,1,55,Uppal
Super built-up  Area,Ready To Move,3 BHK,,1801,3,2,139,Uppal
Super built-up  Area,Ready To Move,2 BHK,DSingSt,1111,2,2,41.88,Uppal
Plot  Area,Ready To Move,3 Bedroom,,3876,3,1,300,Uppal
Super built-up  Area,18-May,2 BHK,,1150,2,2,51,Uppal
Super built-up  Area,Ready To Move,3 BHK,Sriseva,1400,2,1,78,Uppal
Super built-up  Area,Ready To Move,2 BHK,,1076,2,2,52,Uppal
Built-up  Area,18-Jun,4 Bedroom,,4827,4,3,400,Uppal
Super built-up  Area,Ready To Move,2 BHK,BriumMi,1215,2,2,90,Uppal
Super built-up  Area,18-Jun,2 BHK,SSestth,1015,2,1,40,Uppal
Super built-up  Area,Ready To Move,2 BHK,Prityel,845,2,1,37,Uppal
Super built-up  Area,Ready To Move,2 BHK,Prtates,1216,2,1,84,Uppal
Super built-up  Area,17-Jul,2 BHK,Prionad,1358,2,1,81,Uppal
Plot  Area,Ready To Move,3 Bedroom,,1350,3,1,85,Uppal
Super built-up  Area,Ready To Move,3 BHK,,1856,3,1,120,Uppal
Built-up  Area,Ready To Move,2 BHK,UKanema,787,2,1,31,Uppal
Super built-up  Area,Ready To Move,2 BHK,Alows M,1110,2,2,58,Uppal
Super built-up  Area,18-Dec,2 BHK,Prtates,1216,2,1,75,Uppal
Built-up  Area,Ready To Move,2 BHK,,1100,2,2,43.5,Uppal
Super built-up  Area,Ready To Move,2 BHK,Iseenst,1227,2,2,53.49,Uppal
Built-up  Area,Ready To Move,3 Bedroom,Adntsra,2556,3,2,169,Uppal
Super built-up  Area,Ready To Move,3 BHK,MenueNo,1430,2,3,54.5,Uppal
Built-up  Area,Ready To Move,2 BHK,Malowr ,800,2,1,40,Uppal
Super built-up  Area,Ready To Move,3 BHK,SuncyRe,1850,2,,110,Uppal
Plot  Area,Ready To Move,3 Bedroom,,600,3,1,90,Uppal
Super built-up  Area,Ready To Move,2 BHK,SavanBr,1060,2,1,55,Uppal
Plot  Area,Ready To Move,4 Bedroom,,3400,4,2,190,Uppal
Built-up  Area,Ready To Move,4 Bedroom,Saacesa,2600,4,,98,Uppal
Built-up  Area,18-Aug,2 BHK,Sryalan,1065,2,1,30.88,Uppal
Super built-up  Area,Ready To Move,3 BHK,Aklia R,1330,2,1,57,Uppal
Super built-up  Area,21-Dec,2 BHK,KonteiT,1140,2,1,70.93,Uppal
Super built-up  Area,19-Dec,2 BHK,SuVue S,1025,2,2,27.68,Uppal
Super built-up  Area,Ready To Move,2 BHK,,921,2,1,29.47,Uppal
Super built-up  Area,Ready To Move,3 BHK,Goelsn ,1900,3,3,125,Uppal
Plot  Area,Ready To Move,3 Bedroom,Stndeil,3000,4,2,235,Uppal
Super built-up  Area,18-Apr,2 BHK,Prarkun,1355,2,1,67,Uppal
Super built-up  Area,Ready To Move,2 BHK,Gancy P,1067,2,2,52,Uppal
Super built-up  Area,Ready To Move,2 BHK,Elayabh,855,2,1,32,Uppal
Plot  Area,Ready To Move,4 Bedroom,,2400,4,2,480,Uppal
Built-up  Area,Ready To Move,4 Bedroom,Prrry M,3589,5,0,400,Uppal
Super built-up  Area,Ready To Move,2 BHK,Saite G,1140,2,1,51.2,Uppal
Super built-up  Area,Ready To Move,2 BHK,GMown E,770,1,1,39.9,Uppal
Super built-up  Area,Ready To Move,3 BHK,Brica E,2990,5,1,173,Uppal
Built-up  Area,Ready To Move,4 Bedroom,,950,3,3,179,Uppal
Super built-up  Area,Ready To Move,1 BHK,SNityVe,650,1,2,19.87,Uppal
Super built-up  Area,19-Dec,1 BHK,Shntie ,530,1,1,13.5,Uppal
Super built-up  Area,Ready To Move,2 BHK,Maidsr ,725,2,2,36,Uppal
Super built-up  Area,Ready To Move,3 BHK,,1835,3,3,175,Uppal
Built-up  Area,Ready To Move,1 Bedroom,,510,1,0,34,Uppal
Super built-up  Area,Ready To Move,2 BHK,Vincyat,965,2,2,56,Uppal
Super built-up  Area,19-Mar,3 BHK,NiCodCa,1138,3,2,128,Uppal
Built-up  Area,Ready To Move,2 BHK,SivelMa,980,2,1,45,Uppal
Super built-up  Area,Ready To Move,2 BHK,RInceeg,1243,2,2,46,Uppal
Super built-up  Area,Ready To Move,3 BHK,,1577,3,2,65,Uppal
Super built-up  Area,Ready To Move,2 BHK,,1040,2,1,55,Uppal
Super built-up  Area,18-Apr,2 BHK,,1190,2,3,42.25,Uppal
Super built-up  Area,Ready To Move,2 BHK,,1223,2,1,42.81,Uppal
Plot  Area,Ready To Move,6 Bedroom,,1314,5,1,120,Uppal
Super built-up  Area,Ready To Move,3 BHK,DSillto,1450,2,2,55,Uppal
Plot  Area,Ready To Move,2 Bedroom,,1230,2,0,68,Uppal
Super built-up  Area,Ready To Move,3 BHK,,1485,2,3,110,Uppal
Built-up  Area,Ready To Move,3 BHK,Itbhaa ,1310,3,3,90,Uppal
Super built-up  Area,Ready To Move,2 BHK,InhtsHe,1088,2,2,43.5,Uppal
Super built-up  Area,Ready To Move,3 BHK,,1710,3,2,85,Uppal
Built-up  Area,Ready To Move,3 BHK,Brica E,2430,5,2,180,Uppal
Built-up  Area,Ready To Move,2 BHK,,1066,2,3,55,Uppal
Super built-up  Area,Ready To Move,2 BHK,,1175,2,1,41.68,Uppal
Plot  Area,Ready To Move,4 Bedroom,LGrldti,4382,4,3,400,Uppal
Built-up  Area,Ready To Move,2 BHK,,1260,2,0,58,Uppal
Super built-up  Area,Ready To Move,3 BHK,,1580,3,2,75,Uppal
Built-up  Area,Ready To Move,2 BHK,Jaood G,1105,2,2,27.6,Uppal
Plot  Area,Ready To Move,3 Bedroom,,600,3,2,125,Uppal
Super built-up  Area,18-Jun,4 BHK,Brica E,3630 - 3800,6,0,212.5,Uppal
Super built-up  Area,Ready To Move,2 BHK,,1000,2,3,42,Uppal
